,background,ME23,ME25,ME12,ME21,ME31,ME47,ME13,ME39,ME27,ME5,ME10,ME40,ME7,ME33,ME4,ME11,ME49,ME6,ME15,ME44,ME14,ME19,ME55,ME57,ME1,ME16,ME24,ME51,ME34,ME54,ME3,ME50,ME17,ME9,ME26,ME22,ME20,ME45,ME36,ME53,ME58,ME18,ME30,ME35,ME37,ME8,ME59,ME43,ME38,ME56,ME46,ME28,ME2,ME41,ME48,ME29,ME52,ME32,ME42,ME0
11,GB40014,GB41669,GB41702,GB40645,GB41280,GB41972,GB44989,GB40555,GB43219,GB41699,GB40367,GB40364,GB42877,GB40232,GB42020,GB40494,GB40600,GB42481,GB40237,GB41133,GB43549,GB40880,GB41169,GB42968,GB45024,GB40326,GB41497,GB41654,GB42619,GB41708,GB42825,GB40118,GB42761,GB40926,GB40167,GB41774,GB40456,GB41305,GB43204,GB43539,GB44552,GB47122,GB40882,GB41413,GB42486,GB42455,GB40420,GB43616,GB44294,GB43670,GB43369,GB41835,GB41097,GB40224,GB42547,GB41993,GB41408,GB43456,GB41311,GB43579,GB40014
12,GB40015,GB41709,GB41865,GB40646,GB41371,GB42052,GB44990,GB40885,GB43783,GB42108,GB40368,GB40397,GB42950,GB40233,GB42084,GB40507,GB40887,GB42958,GB40239,GB41201,GB43684,GB40911,GB41221,GB43075,GB45147,GB40341,GB41553,GB41673,GB42975,GB41991,GB42902,GB40128,GB43244,GB41178,GB40168,GB42033,GB40536,GB41312,GB43311,GB43735,GB44700,GB47123,GB40883,GB41427,GB42487,GB42769,GB40527,GB43617,GB44627,GB43800,GB43511,GB41923,GB41214,GB40243,GB42695,GB42253,GB41417,GB43584,GB41332,GB43835,GB40015
13,GB40016,GB41911,GB41901,GB40897,GB41372,GB42282,GB44992,GB40904,GB43946,GB42624,GB40411,GB40408,GB43269,GB40305,GB42366,GB40510,GB40894,GB42959,GB40259,GB41386,GB43788,GB40925,GB41295,GB43103,GB45558,GB40345,GB41554,GB41801,GB43375,GB41998,GB43621,GB40129,GB43249,GB41212,GB40223,GB42630,GB40622,GB41313,GB43654,GB43806,GB44875,GB47598,GB40977,GB41443,GB42500,GB42805,GB40533,GB43818,GB44710,GB43879,GB43514,GB41930,GB41504,GB40249,GB42905,GB42878,GB41606,GB44002,GB41495,GB43898,GB40016
14,GB40017,GB42050,GB41908,GB40906,GB41393,GB42674,GB45180,GB41140,GB43968,GB42914,GB40422,GB40415,GB43402,GB40337,GB42519,GB40546,GB40895,GB42961,GB40275,GB41499,GB43823,GB40966,GB41437,GB44210,GB46235,GB40354,GB41649,GB41831,GB43416,GB42260,GB43658,GB40130,GB43250,GB41260,GB40266,GB42686,GB40665,GB41334,GB43915,GB44003,GB44945,GB48145,GB41150,GB41615,GB42652,GB43581,GB40566,GB44143,GB44888,GB43963,GB45758,GB42467,GB41544,GB40251,GB43141,GB43096,GB41704,GB44073,GB41540,GB44086,GB40017
15,GB40018,GB42278,GB42441,GB40908,GB41415,GB42750,GB45396,GB41166,GB44052,GB43037,GB40425,GB40447,GB43463,GB40360,GB42648,GB40560,GB40934,GB43515,GB40289,GB41617,GB43866,GB41129,GB41449,GB45018,GB46569,GB40356,GB41650,GB41968,GB43488,GB42585,GB43791,GB40135,GB43271,GB41262,GB40287,GB42736,GB40702,GB41341,GB44384,GB44007,GB45094,GB48541,GB41384,GB41668,GB42798,GB43689,GB40579,GB44396,GB44996,GB44192,GB46579,GB42699,GB41593,GB40264,GB43309,GB43188,GB41734,GB44099,GB42410,GB44214,GB40018
16,GB40019,GB42353,GB42447,GB40918,GB41435,GB42921,GB45995,GB41189,GB44096,GB43102,GB40428,GB40459,GB43487,GB40382,GB42654,GB40568,GB41136,GB44230,GB40301,GB41618,GB44451,GB41263,GB41580,GB45038,GB46792,GB40361,GB41670,GB42046,GB43489,GB42692,GB43891,GB40136,GB43425,GB41321,GB40336,GB42822,GB40994,GB41359,GB44459,GB44040,GB45367,GB48814,GB41631,GB41754,GB42965,GB43713,GB40636,GB44691,GB45700,GB44958,GB46772,GB42828,GB41746,GB40279,GB43786,GB43206,GB41830,GB44842,GB42549,GB44452,GB40019
17,GB40020,GB42554,GB42681,GB40920,GB41489,GB43108,GB47955,GB41259,GB44150,GB43122,GB40471,GB40475,GB43867,GB40429,GB42845,GB40574,GB41143,GB44310,GB40311,GB41627,GB44503,GB41287,GB41692,GB45082,GB47345,GB40383,GB41672,GB42055,GB43495,GB42762,GB44383,GB40137,GB43474,GB41325,GB40390,GB42880,GB40998,GB41361,GB44614,GB44510,GB45581,GB48844,GB41906,GB41776,GB43265,GB43715,GB40684,GB45107,GB45775,GB44982,GB48194,GB42891,GB41888,GB40281,GB44110,GB43221,GB41997,GB44858,GB42635,GB44924,GB40020
18,GB40021,GB42778,GB42694,GB40932,GB41503,GB43113,GB48080,GB41303,GB44221,GB43156,GB40472,GB40479,GB43931,GB40457,GB42940,GB40589,GB41251,GB44527,GB40321,GB41657,GB45427,GB41597,GB41745,GB45156,GB47652,GB40400,GB41755,GB42343,GB43601,GB42806,GB45031,GB40138,GB43702,GB41467,GB40438,GB42918,GB41110,GB41441,GB44713,GB44671,GB45676,GB48884,GB42262,GB41777,GB43354,GB43717,GB40905,GB45151,GB46095,GB44999,GB48407,GB42892,GB41941,GB40282,GB44120,GB43222,GB42049,GB45220,GB42792,GB45231,GB40021
19,GB40022,GB43086,GB42714,GB40995,GB41694,GB43126,GB48081,GB41340,GB44427,GB43172,GB40508,GB40483,GB44053,GB40497,GB42957,GB40590,GB41267,GB45102,GB40384,GB41684,GB46597,GB41688,GB41852,GB45307,GB48303,GB40401,GB41762,GB42417,GB43936,GB42850,GB45217,GB40139,GB44018,GB41653,GB40517,GB42951,GB41146,GB41671,GB45335,GB44701,GB45677,GB48910,GB42469,GB41922,GB43845,GB43727,GB40928,GB47114,GB46222,GB45023,GB48435,GB42942,GB42022,GB40299,GB44178,GB43266,GB42062,GB45937,GB43029,GB45906,GB40022
20,GB40023,GB43087,GB42719,GB41002,GB41735,GB43186,GB48433,GB41360,GB44688,GB43248,GB40545,GB40535,GB44165,GB40502,GB43264,GB40595,GB41364,GB45417,GB40396,GB41707,GB46774,GB41815,GB42058,GB45435,GB48324,GB40426,GB41808,GB42448,GB43976,GB42885,GB46035,GB40142,GB44638,GB41659,GB40524,GB43116,GB41278,GB41722,GB45907,GB44826,GB46249,GB49183,GB42537,GB42053,GB44004,GB44031,GB41009,GB47299,GB46223,GB45149,GB48511,GB43246,GB42035,GB40310,GB44278,GB43433,GB42579,GB46564,GB43052,GB48590,GB40023
21,GB40025,GB43093,GB42720,GB41112,GB41895,GB43459,GB48543,GB41365,GB45351,GB43640,GB40563,GB40537,GB44400,GB40556,GB43353,GB40655,GB41472,GB45777,GB40424,GB41790,GB47041,GB41873,GB42451,GB46870,GB48526,GB40432,GB41838,GB42659,GB44089,GB43033,GB46211,GB40144,GB45067,GB41662,GB40525,GB43825,GB41476,GB41752,GB46363,GB44892,GB46897,GB49191,GB42571,GB42427,GB44869,GB44160,GB41126,GB48410,GB46236,GB45172,GB48512,GB43255,GB42747,GB40315,GB45053,GB43546,GB42607,GB46868,GB43053,GB48591,GB40025
22,GB40026,GB43163,GB42871,GB41179,GB41989,GB43705,GB48706,GB41713,GB45362,GB43693,GB40598,GB40561,GB44466,GB40558,GB43464,GB40674,GB41640,GB45808,GB40460,GB41842,GB47140,GB41883,GB42531,GB46978,GB49941,GB40433,GB42051,GB42838,GB44250,GB43130,GB46616,GB40147,GB45177,GB41676,GB40526,GB43988,GB41622,GB41817,GB46603,GB44993,GB46974,GB49291,GB42679,GB42738,GB44911,GB44487,GB41145,GB48678,GB46286,GB45184,GB48694,GB43324,GB42949,GB40316,GB45054,GB43775,GB43092,GB47217,GB43054,GB48769,GB40026
23,GB40027,GB43168,GB43060,GB41376,GB42285,GB43722,GB48716,GB41779,GB45395,GB43824,GB40619,GB40903,GB45421,GB40573,GB43485,GB40686,GB41693,GB46041,GB40461,GB41843,GB47141,GB41975,GB42544,GB47167,GB49942,GB40437,GB42059,GB42873,GB44446,GB43404,GB47245,GB40150,GB45774,GB41723,GB40530,GB44047,GB41637,GB42425,GB46679,GB45020,GB47187,GB49462,GB42696,GB42755,GB45148,GB44493,GB41182,GB48799,GB46367,GB45305,GB49321,GB43335,GB43316,GB40325,GB45056,GB43935,GB43095,GB47298,GB43308,GB48790,GB40027
24,GB40028,GB43201,GB43258,GB41457,GB42350,GB43817,GB49446,GB41796,GB45397,GB43847,GB40633,GB40923,GB45699,GB40596,GB43736,GB40691,GB41733,GB46896,GB40462,GB41936,GB47147,GB41982,GB42670,GB47271,GB49943,GB40452,GB42125,GB42970,GB44834,GB43476,GB47628,GB40154,GB46193,GB41783,GB40542,GB44064,GB41638,GB42432,GB46883,GB45178,GB47337,GB49479,GB42704,GB42794,GB45250,GB44939,GB41235,GB49106,GB46814,GB45950,GB50851,GB43643,GB43662,GB40327,GB45074,GB43998,GB43098,GB47303,GB44202,GB49434,GB40028
25,GB40029,GB43207,GB43297,GB41466,GB42460,GB43874,GB49461,GB41803,GB45416,GB43873,GB40634,GB41018,GB45793,GB40606,GB43831,GB40872,GB41741,GB46926,GB40474,GB41957,GB48196,GB42261,GB42716,GB47575,GB50274,GB40477,GB42266,GB43133,GB44959,GB43496,GB47770,GB40160,GB48686,GB41792,GB40591,GB44080,GB41706,GB42457,GB47205,GB45209,GB47350,GB49482,GB42705,GB42801,GB45424,GB45013,GB41240,GB49907,GB46871,GB45973,GB51270,GB44038,GB44117,GB40329,GB45974,GB44213,GB43101,GB47581,GB44500,GB49448,GB40029
26,GB40030,GB43223,GB43365,GB41488,GB42564,GB43924,GB49463,GB41813,GB45597,GB43952,GB40652,GB41117,GB45985,GB40653,GB43942,GB40879,GB41768,GB47188,GB40501,GB41985,GB48425,GB42394,GB42721,GB47950,GB50318,GB40486,GB42281,GB43167,GB45167,GB43780,GB48811,GB40184,GB49548,GB41860,GB40700,GB44104,GB41716,GB42492,GB47297,GB45232,GB47596,GB49483,GB42835,GB42802,GB45706,GB45044,GB41270,GB50904,GB47520,GB46285,GB51712,GB44204,GB44233,GB40350,GB46089,GB44588,GB43226,GB47582,GB44501,GB49449,GB40030
27,GB40031,GB43231,GB43450,GB41558,GB42988,GB43986,GB49480,GB41884,GB46122,GB43991,GB40656,GB41137,GB46213,GB40873,GB44457,GB40884,GB41794,GB47265,GB40529,GB42038,GB48741,GB42475,GB42753,GB48313,GB50745,GB40505,GB42347,GB43216,GB46724,GB43781,GB48836,GB40229,GB49832,GB41879,GB40898,GB44113,GB41810,GB42573,GB47549,GB45402,GB48183,GB49484,GB42927,GB42971,GB45736,GB45918,GB41322,GB51651,GB47546,GB46290,GB52074,GB44634,GB44253,GB40351,GB46153,GB44629,GB43228,GB47584,GB44502,GB49450,GB40031
28,GB40032,GB43844,GB43704,GB41564,GB42994,GB44321,GB49486,GB41925,GB46206,GB44664,GB40672,GB41141,GB47090,GB40876,GB44570,GB40886,GB41806,GB47320,GB40877,GB42355,GB48765,GB42495,GB42771,GB48346,GB50750,GB40520,GB42381,GB43421,GB46939,GB44197,GB48840,GB40230,GB49924,GB41904,GB40912,GB44356,GB41821,GB42669,GB47986,GB45422,GB48662,GB50544,GB42944,GB43256,GB46217,GB45955,GB41324,GB51798,GB47885,GB46312,GB52324,GB45594,GB44263,GB40393,GB46164,GB45459,GB43276,GB48785,GB44513,GB49451,GB40032
29,GB40033,GB43920,GB43852,GB41565,GB43084,GB44380,GB49490,GB42021,GB46265,GB44699,GB40976,GB41149,GB47269,GB40891,GB44703,GB40888,GB41823,GB47961,GB40890,GB42468,GB48850,GB42656,GB42814,GB48601,GB50943,GB40564,GB42516,GB43774,GB47241,GB44447,GB50235,GB40231,GB50507,GB42056,GB40997,GB44490,GB41827,GB42856,GB48044,GB45432,GB49460,GB51105,GB43056,GB43469,GB46230,GB46289,GB41394,GB52715,GB47974,GB46347,GB53313,GB45595,GB44277,GB40394,GB46342,GB46982,GB43460,GB49991,GB44613,GB49452,GB40033
30,GB40034,GB44133,GB43888,GB41567,GB43090,GB44545,GB49491,GB42496,GB46563,GB44865,GB40984,GB41204,GB47548,GB40901,GB45127,GB40892,GB41848,GB48621,GB40899,GB42575,GB49336,GB42813,GB42853,GB48643,GB50964,GB40567,GB42559,GB43841,GB47766,GB44528,GB50293,GB40241,GB50584,GB42099,GB41000,GB44835,GB42039,GB42898,GB48149,GB46083,GB49965,GB51287,GB43097,GB43510,GB46294,GB46300,GB41421,GB52716,GB48391,GB46697,GB53314,GB45596,GB44320,GB40403,GB46623,GB47049,GB43572,GB50179,GB45174,GB49454,GB40034
31,GB40035,GB44318,GB43989,GB41608,GB43091,GB45004,GB49492,GB42511,GB47105,GB44975,GB41014,GB41210,GB47569,GB40983,GB45221,GB41087,GB41902,GB48861,GB40987,GB42722,GB49363,GB42844,GB43042,GB48782,GB51111,GB40581,GB42657,GB43851,GB48236,GB44567,GB50638,GB40256,GB51190,GB42277,GB41226,GB44893,GB42064,GB42956,GB48464,GB46096,GB50129,GB51291,GB43180,GB43613,GB46323,GB46643,GB41439,GB53028,GB48395,GB47799,GB54020,GB45806,GB44854,GB40409,GB46759,GB47139,GB43760,GB50442,GB45211,GB49455,GB40035
32,GB40037,GB44382,GB44012,GB41647,GB43111,GB45164,GB49494,GB42632,GB47108,GB45083,GB41021,GB41213,GB48086,GB41020,GB45251,GB41103,GB41903,GB49082,GB41016,GB42739,GB49379,GB42846,GB43158,GB48812,GB51341,GB40582,GB42725,GB44128,GB49925,GB44963,GB51052,GB40258,GB51898,GB42356,GB41227,GB44915,GB42411,GB42962,GB48853,GB46101,GB50199,GB51302,GB43283,GB43691,GB46844,GB46713,GB41493,GB53549,GB48697,GB47934,GB54123,GB46287,GB44899,GB40418,GB47561,GB48549,GB43895,GB50586,GB45708,GB49456,GB40227
33,GB40038,GB44464,GB44083,GB41700,GB43161,GB45222,GB49497,GB42744,GB47309,GB45086,GB41134,GB41222,GB48422,GB41105,GB45296,GB41118,GB41927,GB49115,GB41104,GB42875,GB49380,GB42928,GB43159,GB49346,GB52469,GB40583,GB42786,GB44149,GB50439,GB45052,GB51054,GB40265,GB52950,GB42401,GB41241,GB45026,GB42509,GB42974,GB49021,GB46620,GB51375,GB51313,GB43332,GB43795,GB47029,GB47000,GB41494,GB53550,GB49323,GB47938,GB54216,GB46631,GB45195,GB40427,GB47588,GB49650,GB44020,GB50874,GB45713,GB49458,GB40559
34,GB40046,GB44830,GB44136,GB41710,GB43191,GB45269,GB49588,GB42751,GB47547,GB45143,GB41135,GB41224,GB48519,GB41120,GB45544,GB41131,GB41970,GB49308,GB41139,GB42931,GB49538,GB43080,GB43480,GB49612,GB52704,GB40584,GB42820,GB44172,GB50685,GB45069,GB51440,GB40293,GB53295,GB42491,GB41243,GB45146,GB42593,GB42984,GB49653,GB46639,GB51917,GB51374,GB43350,GB43943,GB47099,GB47202,GB41514,GB54321,GB49544,GB47948,GB54396,GB46842,GB45298,GB40440,GB48077,GB49947,GB44042,GB51337,GB45714,GB49485,GB40570
35,GB40047,GB44935,GB44208,GB41720,GB43220,GB45345,GB49665,GB42888,GB48209,GB45190,GB41176,GB41275,GB48520,GB41164,GB45798,GB41153,GB41980,GB49338,GB41148,GB42934,GB49562,GB43105,GB43556,GB51113,GB53357,GB40587,GB43153,GB44311,GB50826,GB45142,GB52022,GB40298,GB53571,GB42612,GB41283,GB45153,GB42627,GB43218,GB49713,GB46890,GB51957,GB53673,GB43512,GB44206,GB47153,GB47565,GB41542,GB54730,GB49580,GB47949,GB54791,GB47274,GB45392,GB40498,GB48078,GB49967,GB44074,GB52025,GB45919,GB49488,GB40711
36,GB40050,GB44977,GB44281,GB41736,GB43315,GB45357,GB49719,GB42890,GB48432,GB46033,GB41191,GB41294,GB48635,GB41198,GB46149,GB41157,GB42436,GB49641,GB41154,GB43081,GB50539,GB43213,GB43622,GB51237,GB53566,GB40594,GB43171,GB44348,GB51055,GB45917,GB52092,GB40330,GB53593,GB42638,GB41383,GB45193,GB42628,GB43418,GB49830,GB47206,GB51965,GB53840,GB43526,GB44223,GB47214,GB47849,GB41581,GB54731,GB49581,GB48065,GB55096,GB47774,GB45474,GB40499,GB48132,GB50379,GB44091,GB53070,GB46309,GB49493,GB40712
37,GB40053,GB45154,GB44339,GB41898,GB43423,GB45478,GB49829,GB42897,GB48683,GB46147,GB41208,GB41391,GB48659,GB41207,GB46322,GB41161,GB42465,GB49781,GB41158,GB43155,GB50627,GB43300,GB43707,GB51889,GB55440,GB40601,GB43278,GB44363,GB51370,GB46981,GB53109,GB40333,GB53991,GB42639,GB41407,GB45243,GB42795,GB43444,GB49930,GB47347,GB52159,GB54032,GB43548,GB44424,GB47304,GB48632,GB41603,GB55137,GB49649,GB48066,GB55613,GB48301,GB46053,GB40504,GB48399,GB51257,GB44116,GB53142,GB46571,GB49495,GB40713
38,GB40054,GB45171,GB44531,GB41961,GB43424,GB45533,GB49850,GB43118,GB49354,GB46150,GB41215,GB41419,GB48871,GB41211,GB46641,GB41173,GB42550,GB49890,GB41159,GB43157,GB50730,GB43564,GB43782,GB52168,GB55537,GB40616,GB43279,GB44656,GB51387,GB47136,GB53747,GB40334,GB54000,GB42896,GB41409,GB45425,GB42939,GB43455,GB50042,GB47611,GB52261,GB55134,GB43558,GB45300,GB47953,GB48728,GB41616,GB55224,GB49750,GB48497,GB55615,GB48493,GB46124,GB40511,GB48723,GB51749,GB44127,GB53779,GB46704,GB49496,GB40714
39,GB40056,GB45202,GB44644,GB42000,GB43840,GB45623,GB50644,GB43160,GB49459,GB46373,GB41218,GB41445,GB49467,GB41252,GB47016,GB41205,GB42655,GB50215,GB41163,GB43195,GB51235,GB43586,GB43917,GB52557,GB56004,GB40631,GB43448,GB44666,GB52365,GB47221,GB53801,GB40344,GB54299,GB42978,GB41410,GB45562,GB43245,GB43481,GB50054,GB47830,GB52412,NA,GB43559,GB45602,GB48124,GB49010,GB41625,NA,GB49937,GB48540,GB55698,GB48727,GB46192,GB40522,GB49767,GB52195,GB44139,GB53791,GB46705,GB49545,GB40715
40,GB40057,GB45400,GB45093,GB42508,GB43958,GB46070,GB50699,GB43270,GB49537,GB47022,GB41232,GB41455,GB49516,GB41284,GB47189,GB41206,GB42676,GB51411,GB41183,GB43196,GB51247,GB43609,GB43964,GB53060,NA,GB40637,GB43504,GB44667,GB52366,GB47783,GB53829,GB40347,GB54395,GB43076,GB41430,GB45670,GB43294,GB43563,GB50056,GB48245,GB52988,NA,GB43738,GB45754,GB48373,GB49051,GB41666,NA,GB50655,GB49887,GB55718,GB49207,GB46199,GB40531,GB50184,GB52975,GB44201,GB54294,GB46946,GB49885,GB40716
41,GB40058,GB45433,GB45111,GB42553,GB43980,GB46242,GB50742,GB43484,GB49758,GB47039,GB41237,GB41458,GB49892,GB41363,GB47336,GB41244,GB42690,GB51422,GB41187,GB43236,GB51277,GB43626,GB43984,GB53601,NA,GB40644,GB43554,GB44668,GB52367,GB48059,GB54405,GB40370,GB54465,GB43114,GB41471,GB45712,GB43298,GB43577,GB51062,GB48257,GB53761,NA,GB43864,GB45803,GB48409,GB49397,GB41714,NA,GB50662,GB50506,NA,GB49322,GB46261,GB40544,GB50257,GB52985,GB44229,GB54645,GB47004,GB49886,GB40717
42,GB40059,GB45552,GB45176,GB42582,GB44148,GB46283,GB50812,GB43562,GB49915,GB47062,GB41238,GB41485,GB50037,GB41392,GB47538,GB41269,GB42724,GB51423,GB41199,GB43516,GB51278,GB43627,GB44067,GB54271,NA,GB40647,GB43565,GB44850,GB52369,GB48096,GB54763,GB40375,GB54471,GB43205,GB41481,GB45731,GB43380,GB43709,GB51490,GB48405,GB54892,NA,GB43930,GB46046,GB48489,GB49552,GB41766,NA,GB51369,GB50509,NA,GB49334,GB46327,GB40554,GB50262,GB53006,GB44366,GB55378,GB47362,GB50029,GB40718
43,GB40060,GB45661,GB45624,GB42583,GB44596,GB46618,GB51244,GB43606,GB50233,GB47109,GB41247,GB41517,GB50130,GB41423,GB47608,GB41291,GB42749,GB52254,GB41233,GB43628,GB51354,GB43680,GB44312,GB55775,NA,GB40650,GB43638,GB45098,GB52374,GB48231,GB55841,GB40407,GB54528,GB43214,GB41630,GB45961,GB43415,GB43761,GB51733,GB48427,GB55351,NA,GB44033,GB46266,GB49108,GB49579,GB41767,NA,GB51530,GB50590,NA,GB49335,GB46338,GB40585,GB50448,GB53150,GB44412,GB55547,GB47536,GB50247,GB40719
44,GB40061,GB45732,GB45650,GB42584,GB44636,GB46651,GB51503,GB43672,GB50420,GB47183,GB41248,GB41632,GB50237,GB41552,GB47963,GB41368,GB42759,GB52257,GB41234,GB43636,GB51487,GB43746,GB44373,GB56018,NA,GB40657,GB43733,GB45145,GB52376,GB48271,GB55948,GB40521,GB54663,GB43234,GB41667,GB46276,GB43519,GB43768,GB52236,GB49230,GB55562,NA,GB44147,GB46366,GB49213,GB49598,GB41773,NA,GB51698,GB50591,NA,GB49530,GB46354,GB40586,GB50540,GB53378,GB44526,GB55591,GB47545,GB50290,GB40720
