ID	Gene Name	Species	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	PIR_SUPERFAMILY	SMART	UP_KEYWORDS
100216489	ecdysis triggering hormone(Eth)	Apis mellifera									Complete proteome,Reference proteome,
100577551	eukaryotic translation initiation factor 5B-like(LOC100577551)	Apis mellifera									Coiled coil,Complete proteome,Reference proteome,
411045	glutathione S-transferase S4(GstS4)	Apis mellifera				GO:0016740~transferase activity,	IPR004045:Glutathione S-transferase, N-terminal,IPR004046:Glutathione S-transferase, C-terminal,IPR010987:Glutathione S-transferase, C-terminal-like,IPR012336:Thioredoxin-like fold,				Complete proteome,Reference proteome,Transferase,
410620	heat shock protein Hsp70Ab-like(LOC410620)	Apis mellifera				GO:0005524~ATP binding,	IPR013126:Heat shock protein 70 family,IPR018181:Heat shock protein 70, conserved site,	ame03040:Spliceosome,ame04141:Protein processing in endoplasmic reticulum,ame04144:Endocytosis,			ATP-binding,Coiled coil,Complete proteome,Nucleotide-binding,Reference proteome,
726666	mediator of RNA polymerase II transcription subunit 28-like(LOC726666)	Apis mellifera					IPR021640:Mediator complex, subunit Med28,				Complete proteome,Reference proteome,
411720	mitogen-activated protein kinase kinase kinase 7 interacting protein 1(LOC411720)	Apis mellifera				GO:0004722~protein serine/threonine phosphatase activity,	IPR001932:Protein phosphatase 2C (PP2C)-like,IPR015655:Protein phosphatase 2C,			SM00332:PP2Cc,	Complete proteome,Reference proteome,
408272	monocarboxylate transporter 7(LOC408272)	Apis mellifera		GO:0055085~transmembrane transport,	GO:0016021~integral component of membrane,		IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain,				Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,
100576816	odorant receptor 4-like(LOC100576816)	Apis mellifera			GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0004984~olfactory receptor activity,GO:0005549~odorant binding,	IPR004117:Olfactory receptor, Drosophila,				Complete proteome,Membrane,Olfaction,Receptor,Reference proteome,Sensory transduction,Transducer,Transmembrane,Transmembrane helix,
410884	phospholipase A1(LOC410884)	Apis mellifera		GO:0006629~lipid metabolic process,	GO:0005576~extracellular region,	GO:0052689~carboxylic ester hydrolase activity,	IPR000734:Lipase,IPR013818:Lipase, N-terminal,				Complete proteome,Reference proteome,Secreted,Signal,
552190	prisilkin-39-like(LOC552190)	Apis mellifera									Complete proteome,Reference proteome,Signal,
411924	probable 28S ribosomal protein S25, mitochondrial(LOC411924)	Apis mellifera					IPR007741:Ribosomal protein/NADH dehydrogenase domain,IPR012336:Thioredoxin-like fold,			SM00916:SM00916,	Complete proteome,Reference proteome,
412209	probable cytochrome P450 6a17(LOC412209)	Apis mellifera	Secondary metabolites biosynthesis, transport, and catabolism,		GO:0016021~integral component of membrane,	GO:0004497~monooxygenase activity,GO:0005506~iron ion binding,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,GO:0020037~heme binding,	IPR001128:Cytochrome P450,IPR002401:Cytochrome P450, E-class, group I,IPR017972:Cytochrome P450, conserved site,				Complete proteome,Heme,Iron,Membrane,Metal-binding,Monooxygenase,Oxidoreductase,Reference proteome,Transmembrane,Transmembrane helix,
726436	probable proline--tRNA ligase, mitochondrial(LOC726436)	Apis mellifera		GO:0006433~prolyl-tRNA aminoacylation,	GO:0005737~cytoplasm,	GO:0004827~proline-tRNA ligase activity,GO:0005524~ATP binding,	IPR002314:Aminoacyl-tRNA synthetase, class II (G/ H/ P/ S), conserved domain,IPR002316:Proline-tRNA ligase, class IIa,IPR004154:Anticodon-binding,IPR004500:Prolyl-tRNA synthetase, class IIa, bacterial-type,IPR006195:Aminoacyl-tRNA synthetase, class II,	ame00970:Aminoacyl-tRNA biosynthesis,			Complete proteome,Reference proteome,
411849	probable sulfite oxidase, mitochondrial(LOC411849)	Apis mellifera		GO:0042128~nitrate assimilation,	GO:0016021~integral component of membrane,	GO:0016491~oxidoreductase activity,GO:0020037~heme binding,GO:0030151~molybdenum ion binding,	IPR000572:Oxidoreductase, molybdopterin-binding domain,IPR001199:Cytochrome b5-like heme/steroid binding domain,IPR005066:Moybdenum cofactor oxidoreductase, dimerisation,IPR008335:Eukaryotic molybdopterin oxidoreductase,IPR014756:Immunoglobulin E-set,IPR018506:Cytochrome b5, heme-binding site,	ame00920:Sulfur metabolism,		SM01117:SM01117,	Complete proteome,Heme,Iron,Membrane,Metal-binding,Oxidoreductase,Reference proteome,Transmembrane,Transmembrane helix,
724787	protein RUFY3(LOC724787)	Apis mellifera				GO:0046872~metal ion binding,	IPR000306:Zinc finger, FYVE-type,IPR004012:RUN,IPR011011:Zinc finger, FYVE/PHD-type,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR017455:Zinc finger, FYVE-related,			SM00064:FYVE,SM00593:RUN,	Coiled coil,Complete proteome,Metal-binding,Reference proteome,Zinc,Zinc-finger,
100577769	uncharacterized LOC100577769(LOC100577769)	Apis mellifera		GO:0006309~apoptotic DNA fragmentation,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0016787~hydrolase activity,	IPR003508:Caspase-activated nuclease CIDE-N,IPR015311:Apoptosis, DNA fragmentation factor 40kDa,			SM00266:CAD,	Complete proteome,Reference proteome,
100578085	uncharacterized LOC100578085(LOC100578085)	Apis mellifera									Complete proteome,Reference proteome,Signal,
100578731	uncharacterized LOC100578731(LOC100578731)	Apis mellifera					IPR020234:Mite allergen, group-7,				Complete proteome,Reference proteome,Signal,
410087	uncharacterized LOC410087(LOC410087)	Apis mellifera	Posttranslational modification, protein turnover, chaperones,				IPR001436:Alpha crystallin/Heat shock protein,IPR002068:Alpha crystallin/Hsp20 domain,IPR008978:HSP20-like chaperone,		PIRSF036514:small heat shock protein, beta-1 type,		Complete proteome,Reference proteome,
724917	uncharacterized LOC724917(LOC724917)	Apis mellifera				GO:0004252~serine-type endopeptidase activity,	IPR001254:Peptidase S1,IPR009003:Trypsin-like cysteine/serine peptidase domain,			SM00020:Tryp_SPc,	Complete proteome,Reference proteome,Signal,
727650	uncharacterized LOC727650(LOC727650)	Apis mellifera			GO:0016021~integral component of membrane,						Complete proteome,Membrane,Reference proteome,Signal,Transmembrane,Transmembrane helix,
