"","Beebase","FBO_Module","FBO_DEG_Type","active_bias","sterile_bias","Entrez","D_melanogaster_Protein_ID","D_melanogaster_Gene_ID","accession","Gene_name"
"27","GB40027","FBO  8",NA,NA,NA,"410696","FBpp0110259","FBgn0051619","XM_006571108.1"," PREDICTED: Apis mellifera ADAMTS-like protein 1-like (LOC410696), mRNA"
"28","GB40028","FBO  7",NA,NA,NA,"725348","FBpp0080203","FBgn0015546","XM_006571112.1"," PREDICTED: Apis mellifera DNA mismatch repair protein spellchecker 1 (spel1), mRNA"
"29","GB40029","FBO  4",NA,NA,NA,NA,"#N/A","#N/A","XM_006571129.1"," PREDICTED: Apis mellifera uncharacterized LOC100578186 (LOC100578186), partial mRNA"
"30","GB40030","FBO  5",NA,NA,NA,"724496","FBpp0079295","FBgn0032054","XM_006571117.1"," PREDICTED: Apis mellifera adenylyltransferase and sulfurtransferase MOCS3 (LOC724496), mRNA"
"31","GB40031","FBO  3",NA,NA,NA,"100578243","#N/A","#N/A","XM_006571130.1"," PREDICTED: Apis mellifera proteasome subunit alpha type-6-like (LOC100578243), mRNA"
"32","GB40032","FBO  13",NA,NA,NA,"550996","FBpp0077570","FBgn0031361","XM_006571116.1"," PREDICTED: Apis mellifera rRNA-processing protein UTP23 homolog (LOC550996), mRNA"
"33","GB40033","FBO  12",NA,NA,NA,"100578281","FBpp0079885","FBgn0027505","XM_006571131.1"," PREDICTED: Apis mellifera rab3 GTPase-activating protein non-catalytic subunit-like (LOC100578281), mRNA"
"34","GB40034","FBO  5",NA,NA,NA,NA,"#N/A","#N/A","XM_006571132.1"," PREDICTED: Apis mellifera uncharacterized LOC102655530 (LOC102655530), mRNA"
"35","GB40035","FBO  8",NA,NA,NA,NA,NA,NA,NA,NA
"36","GB40036","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006572467.1"," PREDICTED: Apis mellifera uncharacterized LOC102655871 (LOC102655871), mRNA"
"37","GB40037","FBO  8",NA,NA,NA,NA,"#N/A","#N/A","XM_001123193.3"," PREDICTED: Apis mellifera kinesin-like protein unc-104-like (LOC727484), mRNA"
"38","GB40038","FBO  6",NA,NA,NA,NA,"#N/A","#N/A","XM_624515.3"," PREDICTED: Apis mellifera bumetanide-sensitive sodium-(potassium)-chloride cotransporter-like (LOC552136), mRNA"
"39","GB40039","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"40","GB40040","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006572711.1"," PREDICTED: Apis mellifera uncharacterized LOC102656364 (LOC102656364), partial mRNA"
"41","GB40041","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"42","GB40042","FBO  5",NA,NA,NA,NA,NA,NA,NA,NA
"43","GB40043","FBO  8",NA,NA,NA,NA,NA,NA,NA,NA
"44","GB40044","FBO  5",NA,NA,NA,NA,NA,NA,NA,NA
"45","GB40045","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006572590.1"," PREDICTED: Apis mellifera homoserine O-acetyltransferase-like (LOC102654407), partial mRNA"
"46","GB40046","FBO  5",NA,NA,NA,NA,"#N/A","#N/A","XM_006566463.1"," PREDICTED: Apis mellifera mitochondrial Rho (Miro), transcript variant X1, mRNA"
"47","GB40047","FBO  2","Reproductive",NA,NA,"100576828","FBpp0088574","FBgn0016034","XM_006571971.1"," PREDICTED: Apis mellifera protein maelstrom 2-like (LOC100576828), transcript variant X1, mRNA"
"48","GB40048","FBO  6",NA,NA,NA,NA,NA,NA,NA,NA
"49","GB40049","FBO  4",NA,NA,NA,NA,NA,NA,NA,NA
"50","GB40050","FBO  5",NA,NA,NA,NA,NA,NA,NA,NA
"51","GB40051","FBO  3",NA,NA,NA,NA,NA,NA,NA,NA
"52","GB40052","FBO  6",NA,NA,NA,NA,NA,NA,NA,NA
"53","GB40053","FBO  1",NA,NA,"maternal","413550","FBpp0085328","FBgn0033058","XM_006560429.1"," PREDICTED: Apis mellifera gastrin-releasing peptide receptor-like (LOC413550), mRNA"
"54","GB40054","FBO  5",NA,NA,NA,NA,"#N/A","#N/A","XM_006560429.1"," PREDICTED: Apis mellifera gastrin-releasing peptide receptor-like (LOC413550), mRNA"
"55","GB40056","FBO  3",NA,NA,NA,NA,"FBpp0075970","FBgn0052069","XM_001120067.3"," PREDICTED: Apis mellifera immediate early response 3-interacting protein 1-like (LOC724829), transcript variant X1, mRNA"
"56","GB40057","FBO  2",NA,NA,NA,"409961","FBpp0078974","FBgn0004838","XM_006560415.1"," PREDICTED: Apis mellifera heterogeneous nuclear ribonucleoprotein 27C-like (LOC409961), transcript variant X1, mRNA"
"57","GB40058","FBO  17",NA,NA,NA,NA,NA,NA,NA,NA
"58","GB40059","FBO  11",NA,NA,NA,NA,"#N/A","#N/A","XM_003249625.2"," PREDICTED: Apis mellifera ankyrin repeat and death domain-containing protein 1A-like (LOC100576924), transcript variant X1, mRNA"
"59","GB40060","FBO  4","Reproductive",NA,NA,NA,"#N/A","#N/A","XM_006560409.1"," PREDICTED: Apis mellifera neuroendocrine convertase 1-like (LOC410438), mRNA"
"60","GB40061","FBO  6",NA,NA,NA,"410439","#N/A","#N/A","XM_006560412.1"," PREDICTED: Apis mellifera lachesin-like (LOC410439), transcript variant X2, mRNA"
"61","GB40063","FBO  6",NA,NA,NA,"410442","#N/A","#N/A","XM_006560407.1"," PREDICTED: Apis mellifera uncharacterized LOC410442 (LOC410442), transcript variant X4, mRNA"
"62","GB40064","FBO  6",NA,NA,NA,NA,"#N/A","#N/A","XM_006560401.1"," PREDICTED: Apis mellifera protein tyrosine phosphatase domain-containing protein 1-like (LOC102655054), transcript variant X2, mRNA"
"63","GB40065","FBO  2",NA,NA,NA,NA,"#N/A","#N/A","XR_408725.1"," PREDICTED: Apis mellifera uncharacterized LOC102655027 (LOC102655027), ncRNA"
"64","GB40066","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"65","GB40067","FBO  4",NA,NA,NA,"412747","#N/A","#N/A","XR_408688.1"," PREDICTED: Apis mellifera receptor interacting protein kinase 5 (Ripk5), transcript variant X4, misc_RNA"
"66","GB40069","FBO  1",NA,NA,NA,"725619","FBpp0289452","FBgn0034286","XM_001121446.3"," PREDICTED: Apis mellifera hemicentin-2-like (LOC725619), mRNA"
"67","GB40070","FBO  3",NA,NA,NA,"725753","#N/A","#N/A","XM_003249622.2"," PREDICTED: Apis mellifera transmembrane protein 45B-like (LOC725753), mRNA"
"68","GB40071","FBO  4",NA,NA,NA,"410446","FBpp0079789","FBgn0032348","XM_393926.4"," PREDICTED: Apis mellifera MPN domain-containing protein CG4751 ortholog (LOC410446), mRNA"
"69","GB40072","FBO  3",NA,NA,NA,"410039","FBpp0079874","FBgn0032393","XM_393524.4"," PREDICTED: Apis mellifera cysteine desulfurase-like protein (LOC410039), transcript variant X3, mRNA"
"70","GB40073","FBO  10",NA,NA,NA,"408424","FBpp0079262","FBgn0261437","XM_391971.5"," PREDICTED: Apis mellifera COP9 signalosome complex subunit 8-like (LOC408424), mRNA"
"71","GB40074","FBO  7","Sterile",NA,NA,NA,"FBpp0080927","FBgn0014859","XM_006560394.1"," PREDICTED: Apis mellifera hormone receptor-like in 38 (Hr38), transcript variant X1, mRNA"
"72","GB40075","FBO  2",NA,NA,NA,"410447","FBpp0294037","FBgn0262743","XM_006560389.1"," PREDICTED: Apis mellifera karyopherin (importin) beta 1 (KPNB1), transcript variant X1, mRNA"
"73","GB40076","FBO  3","Sterile",NA,"paternal","410448","FBpp0080925","FBgn0032879","XM_393928.4"," PREDICTED: Apis mellifera organic cation transporter 1-like (LOC410448), transcript variant X2, mRNA"
"74","GB40077","FBO  6",NA,"paternal",NA,"726040","FBpp0073789","FBgn0027601","XM_001121814.3"," PREDICTED: Apis mellifera probable 4-coumarate--CoA ligase 3-like (LOC726040), transcript variant X1, mRNA"
"75","GB40078","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"76","GB40079","FBO  1","Sterile",NA,NA,NA,"#N/A","#N/A","XM_003249638.2"," PREDICTED: Apis mellifera uncharacterized LOC100578957 (LOC100578957), mRNA"
"77","GB40080","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_003249638.2"," PREDICTED: Apis mellifera uncharacterized LOC100578957 (LOC100578957), mRNA"
"78","GB40081","FBO  20",NA,NA,NA,NA,NA,NA,NA,NA
"79","GB40082","FBO  20","Sterile",NA,NA,NA,NA,NA,NA,NA
"80","GB40083","FBO  5",NA,NA,NA,"408426","FBpp0079801","FBgn0032358","XM_391973.4"," PREDICTED: Apis mellifera palmitoyl-protein thioesterase 2 (Ppt2), transcript variant 2, mRNA"
"81","GB40084","FBO  2","Reproductive",NA,NA,NA,"#N/A","#N/A","XM_006560428.1"," PREDICTED: Apis mellifera DNA ligase 1-like (LOC102656433), mRNA"
"82","GB40085","FBO  1",NA,NA,NA,"410452","FBpp0070798","FBgn0029807","XM_006560375.1"," PREDICTED: Apis mellifera carboxypeptidase B-like (LOC410452), mRNA"
"83","GB40086","FBO  1","Sterile",NA,NA,"410454","#N/A","#N/A","XM_006560374.1"," PREDICTED: Apis mellifera putative sodium-dependent multivitamin transporter-like (LOC410454), mRNA"
"84","GB40087","FBO  8",NA,NA,NA,NA,"#N/A","#N/A","XM_006560331.1"," PREDICTED: Apis mellifera Ca2+-channel-protein-beta-subunit (Ca-beta), transcript variant X2, mRNA"
"85","GB40088","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"86","GB40089","FBO  8",NA,NA,NA,"408430","FBpp0297477","FBgn0259822","XM_006560333.1"," PREDICTED: Apis mellifera Ca2+-channel-protein-beta-subunit (Ca-beta), transcript variant X4, mRNA"
"87","GB40090","FBO  2",NA,"paternal",NA,NA,NA,NA,NA,NA
"88","GB40091","FBO  4",NA,"paternal",NA,"408431","FBpp0073665","FBgn0030530","XM_391978.4"," PREDICTED: Apis mellifera uncharacterized LOC408431 (LOC408431), mRNA"
"89","GB40092","FBO  8",NA,NA,NA,"100578090","#N/A","#N/A","XM_003249633.2"," PREDICTED: Apis mellifera uncharacterized LOC100578090 (LOC100578090), mRNA"
"90","GB40093","FBO  1",NA,NA,NA,"100578023","#N/A","#N/A","XM_003249632.2"," PREDICTED: Apis mellifera FMRFamide-related neuropeptides-like (LOC100578023), transcript variant X1, mRNA"
"91","GB40094","FBO  3",NA,NA,NA,"100216489","#N/A","#N/A","XM_006560274.1"," PREDICTED: Apis mellifera ecdysis triggering hormone (Eth), transcript variant X1, mRNA"
"92","GB40095","FBO  7",NA,NA,NA,"726710","FBpp0289353","FBgn0000157","XM_006560304.1"," PREDICTED: Apis mellifera distal-less (Dll), transcript variant X3, mRNA"
"93","GB40096","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"94","GB40097","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"95","GB40098","FBO  2",NA,NA,NA,"410459","FBpp0078093","FBgn0022936","XM_393939.5"," PREDICTED: Apis mellifera cyclin H (CycH), mRNA"
"96","GB40100","FBO  11",NA,NA,NA,"726759","FBpp0110299","FBgn0000163","XM_006560318.1"," PREDICTED: Apis mellifera partitioning defective 3 homolog (LOC102654373), mRNA"
"97","GB40101","FBO  6",NA,NA,NA,NA,"#N/A","#N/A","XR_408690.1"," PREDICTED: Apis mellifera uncharacterized LOC102653949 (LOC102653949), transcript variant X1, ncRNA"
"98","GB40102","FBO  3",NA,NA,NA,NA,"FBpp0077448","FBgn0031422","XM_001122536.2"," PREDICTED: Apis mellifera GPI-anchored wall transfer protein 1-like (LOC726815), mRNA"
"99","GB40103","FBO  8",NA,NA,NA,NA,"#N/A","#N/A","XM_003249635.2"," PREDICTED: Apis mellifera uncharacterized LOC100578511 (LOC100578511), mRNA"
"100","GB40104","FBO  3",NA,NA,NA,NA,NA,NA,NA,NA
"101","GB40105","FBO  5",NA,NA,NA,NA,NA,NA,NA,NA
"102","GB40106","FBO  3",NA,NA,NA,"408434","FBpp0077447","FBgn0031421","XM_006560306.1"," PREDICTED: Apis mellifera uncharacterized glycosyltransferase AER61-like (LOC408434), transcript variant X1, mRNA"
"103","GB40107","FBO  5",NA,NA,NA,"410463","#N/A","#N/A","XM_393943.5"," PREDICTED: Apis mellifera ATPase WRNIP1-like (LOC410463), transcript variant X2, mRNA"
"104","GB40108","FBO  10",NA,NA,NA,"552354","FBpp0078848","FBgn0029161","XM_624730.4"," PREDICTED: Apis mellifera protein slowmo-like (LOC552354), transcript variant 1, mRNA"
"105","GB40109","FBO  7","Sterile",NA,NA,"552377","FBpp0089387","FBgn0004797","XM_624751.4"," PREDICTED: Apis mellifera midway (mdy), transcript variant X3, mRNA"
"106","GB40110","FBO  7","Sterile",NA,NA,"100577222","#N/A","#N/A","XM_006560317.1"," PREDICTED: Apis mellifera uncharacterized LOC100577222 (LOC100577222), transcript variant X6, mRNA"
"107","GB40111","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"108","GB40112","FBO  6",NA,"paternal",NA,"410462","#N/A","#N/A","XM_006560320.1"," PREDICTED: Apis mellifera uncharacterized LOC410462 (LOC410462), mRNA"
"109","GB40113","FBO  3",NA,NA,NA,"408433","FBpp0076481","FBgn0027554","XM_391980.5"," PREDICTED: Apis mellifera UBX domain-containing protein 4-like (LOC408433), transcript variant 1, mRNA"
"110","GB40114","FBO  7","Sterile",NA,NA,NA,"FBpp0085536","FBgn0034520","XM_006560321.1"," PREDICTED: Apis mellifera homeobox protein ceh-19-like (LOC102654608), mRNA"
"111","GB40115","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XR_408702.1"," PREDICTED: Apis mellifera uncharacterized LOC102654690 (LOC102654690), transcript variant X2, ncRNA"
"112","GB40116","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"113","GB40117","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"114","GB40118","FBO  1",NA,NA,NA,"408432","FBpp0073131","FBgn0004516","XM_391979.5"," PREDICTED: Apis mellifera glutamate decarboxylase-like (LOC408432), transcript variant X1, mRNA"
"115","GB40119","FBO  3",NA,NA,NA,"552210","FBpp0073134","FBgn0016013","XM_006560427.1"," PREDICTED: Apis mellifera fumarylacetoacetase (Faa), mRNA"
"116","GB40120","FBO  6",NA,NA,NA,"726648","FBpp0086539","FBgn0033985","XM_001122369.3"," PREDICTED: Apis mellifera fas apoptotic inhibitory molecule 1-like (LOC726648), mRNA"
"117","GB40121","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006560324.1"," PREDICTED: Apis mellifera uncharacterized LOC102654986 (LOC102654986), mRNA"
"118","GB40122","FBO  6",NA,NA,NA,"726613","FBpp0077785","FBgn0031235","XM_001122338.3"," PREDICTED: Apis mellifera uncharacterized LOC726613 (LOC726613), mRNA"
"119","GB40123","FBO  6",NA,NA,NA,"726599","#N/A","#N/A","XM_006560325.1"," PREDICTED: Apis mellifera angiotensin-converting enzyme-like (LOC726599), mRNA"
"120","GB40124","FBO  4",NA,NA,NA,NA,"FBpp0077059","FBgn0031188","XM_006560325.1"," PREDICTED: Apis mellifera angiotensin-converting enzyme-like (LOC726599), mRNA"
"121","GB40125","FBO  8",NA,NA,NA,"100578263","#N/A","#N/A","XM_003249634.2"," PREDICTED: Apis mellifera uncharacterized LOC100578263 (LOC100578263), transcript variant X1, mRNA"
"122","GB40126","FBO  8",NA,NA,NA,"410456","FBpp0078789","FBgn0031745","XM_393936.5"," PREDICTED: Apis mellifera uncharacterized LOC410456 (LOC410456), transcript variant X5, mRNA"
"123","GB40127","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"124","GB40128","FBO  7","Sterile",NA,NA,"726547","#N/A","#N/A","XR_408712.1"," PREDICTED: Apis mellifera uncharacterized LOC726547 (LOC726547), transcript variant X14, misc_RNA"
"125","GB40129","FBO  7","Sterile",NA,NA,NA,"FBpp0079794","FBgn0052830","XR_408712.1"," PREDICTED: Apis mellifera uncharacterized LOC726547 (LOC726547), transcript variant X14, misc_RNA"
"126","GB40130","FBO  7",NA,NA,NA,NA,"FBpp0079793","FBgn0259750","XM_006560356.1"," PREDICTED: Apis mellifera uncharacterized LOC726547 (LOC726547), transcript variant X10, mRNA"
"127","GB40131","FBO  1","Sterile",NA,NA,NA,NA,NA,NA,NA
"128","GB40132","FBO  1","Sterile",NA,NA,NA,"#N/A","#N/A","XM_006560373.1"," PREDICTED: Apis mellifera blistery (by), transcript variant X14, mRNA"
"129","GB40133","FBO  8",NA,NA,NA,NA,"#N/A","#N/A","XM_006560371.1"," PREDICTED: Apis mellifera blistery (by), transcript variant X12, mRNA"
"130","GB40134","FBO  7",NA,NA,"paternal","408429","FBpp0081597","FBgn0000244","XM_006560370.1"," PREDICTED: Apis mellifera blistery (by), transcript variant X11, mRNA"
"131","GB40135","FBO  6",NA,"paternal",NA,"726391","FBpp0074185","FBgn0030815","XM_001122133.3"," PREDICTED: Apis mellifera carboxypeptidase B-like (LOC726391), mRNA"
"132","GB40136","FBO  3",NA,NA,NA,NA,"#N/A","#N/A","XM_001122095.3"," PREDICTED: Apis mellifera serine protease 17 (SP17), mRNA"
"133","GB40137","FBO  1",NA,NA,NA,"726352","FBpp0079916","FBgn0263234","XM_001122095.3"," PREDICTED: Apis mellifera serine protease 17 (SP17), mRNA"
"134","GB40138","FBO  1",NA,NA,NA,"726329","#N/A","#N/A","XM_001122073.3"," PREDICTED: Apis mellifera serine protease 32 (SP32), mRNA"
"135","GB40139","FBO  1",NA,NA,NA,"408428","FBpp0077688","FBgn0002936","XM_391975.4"," PREDICTED: Apis mellifera peptidyl-prolyl cis-trans isomerase B-like (LOC408428), transcript variant X2, mRNA"
"136","GB40140","FBO  20",NA,"paternal",NA,"408427","FBpp0289561","FBgn0031993","XM_006560385.1"," PREDICTED: Apis mellifera protein PIEZO2-like (LOC408427), transcript variant X9, mRNA"
"137","GB40141","FBO  5",NA,NA,NA,"410451","FBpp0083269","FBgn0038738","NM_001159303.1"," Apis mellifera venom serine carboxypeptidase (LOC410451), mRNA"
"138","GB40142","FBO  1",NA,NA,NA,"100577543","FBpp0078969","FBgn0051632","XM_003249629.2"," PREDICTED: Apis mellifera zinc finger protein 62-like (LOC100577543), mRNA"
"139","GB40143","FBO  8",NA,NA,NA,"100578992","#N/A","#N/A","XR_408716.1"," PREDICTED: Apis mellifera uncharacterized LOC100578992 (LOC100578992), ncRNA"
"140","GB40144","FBO  8",NA,NA,NA,NA,"#N/A","#N/A","XR_408719.1"," PREDICTED: Apis mellifera uncharacterized LOC102654051 (LOC102654051), transcript variant X3, ncRNA"
"141","GB40145","FBO  3","Sterile",NA,NA,"410449","FBpp0077721","FBgn0031257","XM_393929.5"," PREDICTED: Apis mellifera uncharacterized LOC410449 (LOC410449), transcript variant X2, mRNA"
"142","GB40146","FBO  3",NA,NA,NA,"725856","FBpp0072476","FBgn0035155","XM_006560396.1"," PREDICTED: Apis mellifera RabX6 protein (RabX6), mRNA"
"143","GB40147","FBO  1","Sterile",NA,NA,"100577696","FBpp0077539","FBgn0031375","XM_003249630.2"," PREDICTED: Apis mellifera fez family zinc finger protein 2-like (LOC100577696), mRNA"
"144","GB40148","FBO  2",NA,NA,NA,"100576555","FBpp0080798","FBgn0032810","XM_003249623.2"," PREDICTED: Apis mellifera uncharacterized LOC100576555 (LOC100576555), mRNA"
"145","GB40149","FBO  9","Reproductive",NA,NA,NA,"#N/A","#N/A","XM_006560399.1"," PREDICTED: Apis mellifera COMM domain-containing protein 7-like (LOC102654920), mRNA"
"146","GB40150","FBO  7",NA,NA,NA,"408423","FBpp0293409","FBgn0262477","XM_006560288.1"," PREDICTED: Apis mellifera FoxP protein (Foxp), transcript variant X14, mRNA"
"147","GB40151","FBO  10",NA,NA,NA,"410441","FBpp0073895","FBgn0040285","XM_393921.5"," PREDICTED: Apis mellifera secretory carrier membrane protein (Scamp), transcript variant X2, mRNA"
"148","GB40153","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_001121214.3"," PREDICTED: Apis mellifera uncharacterized LOC725354 (LOC725354), transcript variant X1, mRNA"
"149","GB40154","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_001121214.3"," PREDICTED: Apis mellifera uncharacterized LOC725354 (LOC725354), transcript variant X1, mRNA"
"150","GB40155","FBO  7",NA,NA,NA,"725354","#N/A","#N/A","XM_001121214.3"," PREDICTED: Apis mellifera uncharacterized LOC725354 (LOC725354), transcript variant X1, mRNA"
"151","GB40156","FBO  20",NA,NA,NA,NA,NA,NA,NA,NA
"152","GB40157","FBO  6",NA,NA,NA,"408421","FBpp0112997","FBgn0039311","XM_623682.4"," PREDICTED: Apis mellifera uncharacterized LOC408421 (LOC408421), transcript variant X2, mRNA"
"153","GB40158","FBO  8",NA,NA,NA,"410438","#N/A","#N/A","XM_006560409.1"," PREDICTED: Apis mellifera neuroendocrine convertase 1-like (LOC410438), mRNA"
"154","GB40159","FBO  2",NA,NA,NA,"100576924","#N/A","#N/A","XM_003249625.2"," PREDICTED: Apis mellifera ankyrin repeat and death domain-containing protein 1A-like (LOC100576924), transcript variant X1, mRNA"
"155","GB40160","FBO  7",NA,NA,NA,NA,"#N/A","#N/A","XM_006560416.1"," PREDICTED: Apis mellifera heterogeneous nuclear ribonucleoprotein 27C-like (LOC409961), transcript variant X2, mRNA"
"156","GB40161","FBO  13",NA,NA,NA,NA,"#N/A","#N/A","XM_006560420.1"," PREDICTED: Apis mellifera chondroitin syntase (LOC413549), transcript variant X2, mRNA"
"157","GB40162","FBO  6",NA,NA,NA,"413549","FBpp0073880","FBgn0030662","XM_006560420.1"," PREDICTED: Apis mellifera chondroitin syntase (LOC413549), transcript variant X2, mRNA"
"158","GB40163","FBO  3",NA,NA,NA,NA,"FBpp0085560","FBgn0034539","XM_001120136.3"," PREDICTED: Apis mellifera lysozyme 2 (Lys-2), mRNA"
"159","GB40164","FBO  4",NA,NA,NA,NA,"#N/A","#N/A","XM_001120136.3"," PREDICTED: Apis mellifera lysozyme 2 (Lys-2), mRNA"
"160","GB40165","FBO  7",NA,NA,NA,NA,"#N/A","#N/A","XM_393452.5"," PREDICTED: Apis mellifera uncharacterized LOC409962 (LOC409962), mRNA"
"161","GB40166","FBO  6",NA,NA,NA,NA,"#N/A","#N/A","XM_393453.5"," PREDICTED: Apis mellifera 6-phosphofructo-2-kinase (Pfrx), transcript variant X1, mRNA"
"162","GB40167","FBO  6",NA,NA,NA,NA,"#N/A","#N/A","XM_006560425.1"," PREDICTED: Apis mellifera 6-phosphofructo-2-kinase (Pfrx), transcript variant X2, mRNA"
"163","GB40168","FBO  6",NA,NA,NA,"409963","#N/A","#N/A","XM_006560425.1"," PREDICTED: Apis mellifera 6-phosphofructo-2-kinase (Pfrx), transcript variant X2, mRNA"
"164","GB40169","FBO  2",NA,NA,NA,NA,"FBpp0086052","FBgn0050106","XM_006560423.1"," PREDICTED: Apis mellifera gastrin-releasing peptide receptor-like (LOC411632), transcript variant X2, mRNA"
"165","GB40170","FBO  3",NA,NA,NA,NA,"#N/A","#N/A","XM_006560422.1"," PREDICTED: Apis mellifera myosin-4-like (LOC102655978), mRNA"
"166","GB40171","FBO  8",NA,NA,NA,NA,NA,NA,NA,NA
"167","GB40172","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
